fold,strategy,weight
1,meta_score,0.2
1,recency,0.2
1,stability,0.2
1,diversity,0.2
1,ensemble,0.2
2,meta_score,0.2
2,recency,0.2
2,stability,0.2
2,diversity,0.2
2,ensemble,0.2
3,meta_score,0.16961479427922238
3,recency,0.10000765555827132
3,stability,0.3403941934668383
3,diversity,0.19162893772095047
3,ensemble,0.19835441897471748
4,meta_score,0.20654151872006976
4,recency,0.1000041590979757
4,stability,0.224780647048134
4,diversity,0.259675022736202
4,ensemble,0.2089986523976186
5,meta_score,0.5
5,recency,0.5
