fold,feature,importance
1,draw_index,0.05679168924689293
1,previous_draw_std,0.05469859018921852
1,month,0.05415450036525726
1,previous_draw_sum,0.05291290208697319
1,day_of_week,0.05263518542051315
1,previous_draw_range,0.05257076770067215
1,previous_odd_count,0.05201801285147667
1,year,0.051992639899253845
1,previous_draw_mean,0.05082586780190468
1,recent_vs_long,0.05074112117290497
1,previous_even_count,0.05052227899432182
1,previous_consecutive_pairs,0.04968397319316864
1,previous_consecutive_max,0.04850016534328461
1,freq_10,0.047592826187610626
1,freq_200,0.047592680901288986
1,gap,0.04733186215162277
1,freq_100,0.04706907644867897
1,freq_50,0.04652610048651695
1,freq_20,0.04423440620303154
1,freq_5,0.04160526394844055
2,draw_index,0.057148393243551254
2,year,0.05503566935658455
2,previous_draw_std,0.054700374603271484
2,previous_draw_mean,0.05212037265300751
2,month,0.052092473953962326
2,previous_draw_sum,0.052078213542699814
2,previous_consecutive_max,0.05147218331694603
2,previous_even_count,0.05060657486319542
2,previous_draw_range,0.050576865673065186
2,previous_odd_count,0.05047829449176788
2,day_of_week,0.05006585270166397
2,previous_consecutive_pairs,0.049073949456214905
2,recent_vs_long,0.0486200712621212
2,freq_200,0.04753793030977249
2,freq_100,0.04741722345352173
2,freq_50,0.046725790947675705
2,gap,0.04655107110738754
2,freq_20,0.04628933593630791
2,freq_10,0.046034883707761765
2,freq_5,0.045374445617198944
3,previous_consecutive_max,0.05810472369194031
3,day_of_week,0.0554223395884037
3,draw_index,0.055109571665525436
3,previous_draw_std,0.05463802441954613
3,year,0.0532483272254467
3,previous_even_count,0.05146795138716698
3,previous_draw_sum,0.05140109732747078
3,previous_draw_mean,0.051394086331129074
3,month,0.05122993886470795
3,previous_odd_count,0.05098772794008255
3,previous_consecutive_pairs,0.05092223733663559
3,previous_draw_range,0.05044160783290863
3,recent_vs_long,0.048244498670101166
3,freq_200,0.04779168218374252
3,freq_20,0.04621143639087677
3,freq_100,0.04589752480387688
3,freq_5,0.045538824051618576
3,freq_50,0.04434690624475479
3,gap,0.04385988041758537
3,freq_10,0.04374164715409279
4,previous_draw_std,0.05558263510465622
4,draw_index,0.05448291078209877
4,previous_consecutive_max,0.054356157779693604
4,previous_even_count,0.053876060992479324
4,previous_draw_sum,0.053512703627347946
4,previous_draw_range,0.05296589061617851
4,month,0.05271170660853386
4,previous_draw_mean,0.051894694566726685
4,day_of_week,0.05110964551568031
4,year,0.05033692717552185
4,recent_vs_long,0.049130089581012726
4,freq_10,0.048686787486076355
4,previous_consecutive_pairs,0.048637185245752335
4,previous_odd_count,0.047674041241407394
4,freq_200,0.0469144843518734
4,freq_100,0.046888530254364014
4,gap,0.046001650393009186
4,freq_50,0.045550115406513214
4,freq_5,0.04547322541475296
4,freq_20,0.044214606285095215
5,previous_draw_mean,0.056479934602975845
5,draw_index,0.05629660561680794
5,year,0.05496380850672722
5,month,0.05483891814947128
5,previous_draw_std,0.05421806499361992
5,previous_draw_range,0.05310953035950661
5,previous_draw_sum,0.052293289452791214
5,previous_even_count,0.05042204260826111
5,day_of_week,0.04994236305356026
5,previous_odd_count,0.04986773803830147
5,recent_vs_long,0.04969966411590576
5,freq_200,0.048346467316150665
5,previous_consecutive_max,0.048099715262651443
5,previous_consecutive_pairs,0.047839537262916565
5,freq_10,0.04592330381274223
5,freq_50,0.045744914561510086
5,freq_100,0.045708443969488144
5,freq_20,0.04559361934661865
5,freq_5,0.045428816229104996
5,gap,0.04518315941095352
