feature,fold_1,fold_2,fold_3,fold_4,fold_5,mean_rank,std_rank
draw_index,1.0,1.0,3.0,2.0,2.0,1.8,0.7483314773547883
previous_draw_std,2.0,3.0,4.0,1.0,5.0,3.0,1.4142135623730951
month,3.0,5.0,9.0,7.0,4.0,5.6,2.1540659228538015
year,8.0,2.0,5.0,10.0,3.0,5.6,3.006659275674582
previous_draw_sum,4.0,6.0,7.0,5.0,7.0,5.8,1.16619037896906
previous_draw_mean,9.0,4.0,8.0,8.0,1.0,6.0,3.03315017762062
day_of_week,5.0,11.0,2.0,9.0,9.0,7.2,3.2496153618543846
previous_consecutive_max,13.0,7.0,1.0,3.0,13.0,7.4,4.963869458396343
previous_even_count,11.0,8.0,6.0,4.0,8.0,7.4,2.3323807579381204
previous_draw_range,6.0,9.0,12.0,6.0,6.0,7.8,2.4
previous_odd_count,7.0,10.0,10.0,14.0,10.0,10.2,2.227105745132009
recent_vs_long,10.0,13.0,13.0,11.0,11.0,11.6,1.2
previous_consecutive_pairs,12.0,12.0,11.0,13.0,14.0,12.4,1.0198039027185568
freq_200,15.0,14.0,14.0,15.0,12.0,14.0,1.0954451150103321
freq_10,14.0,19.0,20.0,12.0,15.0,16.0,3.03315017762062
freq_100,17.0,15.0,16.0,16.0,17.0,16.2,0.7483314773547882
freq_50,18.0,16.0,18.0,18.0,16.0,17.2,0.9797958971132712
gap,16.0,17.0,19.0,17.0,20.0,17.8,1.469693845669907
freq_20,19.0,18.0,15.0,20.0,18.0,18.0,1.6733200530681511
freq_5,20.0,20.0,17.0,19.0,19.0,19.0,1.0954451150103321
