freq_bucket,samples,positives,hit_rate,window,difference,difference_percent,hit_rate_percent
"(-0.001, 1.0]",217696,26715,0.12271699985300602,5,0.00026802026116928834,0.21888321328825214,12.271699985300602
"(1.0, 5.0]",28703,3470,0.12089328641605407,5,-0.001555693175782663,-1.2704827602225082,12.089328641605407
"(-0.001, 1.0]",159724,19471,0.12190403445944253,10,-0.0005449451323941978,-0.4450385247885949,12.190403445944254
"(1.0, 2.0]",58283,7304,0.12531956145016557,10,0.0028705818583288356,2.344308517635216,12.531956145016556
"(2.0, 7.0]",28392,3410,0.12010425471963934,10,-0.00234472487219739,-1.9148586456278687,12.010425471963934
"(-0.001, 1.0]",68734,8407,0.12231210172549248,20,-0.0001368778663442538,-0.11178359084780727,12.231210172549249
"(1.0, 2.0]",66291,8171,0.12325956766378543,20,0.000810588071948698,0.6619802587581034,12.325956766378543
"(2.0, 3.0]",56358,6817,0.12095887008055645,20,-0.0014901095112802853,-1.2169227675455663,12.095887008055644
"(3.0, 4.0]",32911,4101,0.12460879341253685,20,0.0021598138207001155,1.763847953571761,12.460879341253685
"(4.0, 9.0]",22105,2689,0.12164668627007465,20,-0.0008022933217620848,-0.6552062127723692,12.164668627007465
"(-0.001, 4.0]",62714,7680,0.12246069458175209,50,1.1714989915354024e-05,0.009567241764205786,12.246069458175208
"(4.0, 5.0]",39888,4869,0.12206678700361011,50,-0.0003821925882266236,-0.3121239470517426,12.20667870036101
"(5.0, 7.0]",78808,9734,0.12351537914932494,50,0.001066399557488204,0.8708929719487,12.351537914932493
"(7.0, 8.0]",28218,3459,0.12258133106527748,50,0.0001323514734407477,0.1080870366432773,12.258133106527747
"(8.0, 17.0]",36771,4443,0.12082891408990781,50,-0.001620065501928919,-1.3230534932419504,12.08289140899078
"(0.999, 9.0]",52441,6466,0.12330047100551096,100,0.0008514914136742296,0.6953846545006209,12.330047100551097
"(9.0, 11.0]",54110,6624,0.12241729809647016,100,-3.168149536657283e-05,-0.02587322121603448,12.241729809647016
"(11.0, 13.0]",57435,7002,0.12191172629929485,100,-0.000537253292541881,-0.43875685557586946,12.191172629929484
"(13.0, 15.0]",43993,5378,0.12224672106926102,100,-0.00020225852257571564,-0.16517779343683445,12.224672106926102
"(15.0, 28.0]",38420,4715,0.12272254034357105,100,0.0002735607517343197,0.22340794724969443,12.272254034357106
"(0.999, 20.0]",53766,6591,0.12258676486999219,200,0.00013778527815545838,0.11252464382695768,12.258676486999219
"(20.0, 23.0]",56053,6840,0.12202736695627353,200,-0.00042161263556320105,-0.34431698570994757,12.202736695627353
"(23.0, 25.0]",41542,5131,0.12351355254922729,200,0.0010645729573905555,0.8694012485356203,12.351355254922728
"(25.0, 28.0]",50051,6069,0.12125631855507382,200,-0.0011926610367629098,-0.9740065133563763,12.125631855507383
"(28.0, 43.0]",44987,5554,0.12345788783426323,200,0.0010089082424264983,0.8239417313149736,12.345788783426324
