category,samples,positives,hit_rate,window,hit_rate_percent,difference_percent
cold,83,9,0.10843373493975904,5,10.843373493975903,-11.445783132530117
hot,28693,3469,0.12090056808280765,5,12.090056808280766,-1.264536065707084
middle,217623,26707,0.12272140352811974,5,12.272140352811974,0.2224795479644527
cold,65884,7996,0.12136482302228159,10,12.13648230222816,-0.8853945318033659
hot,34711,4220,0.12157529313474115,10,12.157529313474114,-0.7135106066280588
middle,145804,17969,0.12324078900441689,10,12.32407890044169,0.6466443536071266
cold,49775,6104,0.12263184329482672,20,12.263184329482673,0.1493386907751593
hot,54114,6687,0.1235724581439184,20,12.35724581439184,0.9175074842000299
middle,142510,17394,0.1220545926601642,20,12.20545926601642,-0.3220826608658973
cold,46524,5677,0.12202304187086235,50,12.202304187086236,-0.3478491387957426
hot,51572,6302,0.12219809198790041,50,12.21980919879004,-0.20489154321466363
middle,148303,18206,0.12276218282839861,50,12.276218282839862,0.25578264319220134
cold,45555,5598,0.1228844254198222,100,12.288442541982219,0.355614092854796
hot,51396,6305,0.12267491633590162,100,12.267491633590161,0.18451500765299275
middle,149448,18282,0.12233017504416252,100,12.233017504416251,-0.09702371393393953
cold,46119,5658,0.12268262538216354,200,12.268262538216353,0.19081072876689364
hot,51401,6311,0.1227797124569561,200,12.27797124569561,0.27009850651414835
middle,148879,18216,0.12235439517997837,200,12.235439517997836,-0.07724393635099533
